[Mon Dec 09 20:33:33.779477 2019] [php7:emerg] [pid 10441] [client 24.117.202.7:53200] PHP Parse error:  syntax error, unexpected '\\' (T_NS_SEPARATOR) in /home/carsonsmith/src/sql.php on line 335
[Mon Dec 09 20:33:37.241509 2019] [php7:emerg] [pid 10444] [client 24.117.202.7:53201] PHP Parse error:  syntax error, unexpected '\\' (T_NS_SEPARATOR) in /home/carsonsmith/src/sql.php on line 335
[Mon Dec 09 20:35:52.496515 2019] [php7:warn] [pid 10671] [client 132.178.207.16:10310] PHP Warning:  Declaration of template\\NewUserPage::renderNav() should be compatible with template\\HtmlPage::renderNav($key) in /home/carsonsmith/src/template.php on line 182
[Mon Dec 09 20:35:52.498076 2019] [php7:warn] [pid 10671] [client 132.178.207.16:10310] PHP Warning:  Declaration of template\\AdminPage::renderNav() should be compatible with template\\HtmlPage::renderNav($key) in /home/carsonsmith/src/template.php on line 287
[Mon Dec 09 20:36:10.277459 2019] [php7:warn] [pid 10685] [client 132.178.207.16:13492] PHP Warning:  Use of undefined constant email - assumed 'email' (this will throw an Error in a future version of PHP) in /home/carsonsmith/public_html/index.php on line 14, referer: http://carsonsmith.cs-401.hehm.net/show-post.php?id=10
[Mon Dec 09 20:36:10.277660 2019] [php7:notice] [pid 10685] [client 132.178.207.16:13492] PHP Notice:  Object of class objects\\User could not be converted to int in /home/carsonsmith/public_html/index.php on line 14, referer: http://carsonsmith.cs-401.hehm.net/show-post.php?id=10
[Mon Dec 09 20:36:10.277741 2019] [php7:warn] [pid 10685] [client 132.178.207.16:13492] PHP Warning:  A non-numeric value encountered in /home/carsonsmith/public_html/index.php on line 14, referer: http://carsonsmith.cs-401.hehm.net/show-post.php?id=10
[Mon Dec 09 20:37:28.891945 2019] [php7:warn] [pid 10703] [client 132.178.207.16:18731] PHP Warning:  Use of undefined constant email - assumed 'email' (this will throw an Error in a future version of PHP) in /home/carsonsmith/public_html/index.php on line 14, referer: http://carsonsmith.cs-401.hehm.net/category.php?slug=community
[Mon Dec 09 20:37:28.892119 2019] [php7:notice] [pid 10703] [client 132.178.207.16:18731] PHP Notice:  Object of class objects\\User could not be converted to int in /home/carsonsmith/public_html/index.php on line 14, referer: http://carsonsmith.cs-401.hehm.net/category.php?slug=community
[Mon Dec 09 20:37:28.892176 2019] [php7:warn] [pid 10703] [client 132.178.207.16:18731] PHP Warning:  A non-numeric value encountered in /home/carsonsmith/public_html/index.php on line 14, referer: http://carsonsmith.cs-401.hehm.net/category.php?slug=community
[Mon Dec 09 20:37:33.283814 2019] [php7:notice] [pid 10703] [client 132.178.207.16:18731] PHP Notice:  Undefined index: slug in /home/carsonsmith/public_html/category.php on line 5, referer: http://carsonsmith.cs-401.hehm.net/index.php
[Mon Dec 09 20:37:33.284174 2019] [php7:notice] [pid 10703] [client 132.178.207.16:18731] PHP Notice:  Trying to get property 'id' of non-object in /home/carsonsmith/public_html/category.php on line 24, referer: http://carsonsmith.cs-401.hehm.net/index.php
[Mon Dec 09 20:37:33.290716 2019] [php7:notice] [pid 10703] [client 132.178.207.16:18731] PHP Notice:  Trying to get property 'parent_category_id' of non-object in /home/carsonsmith/src/template.php on line 219, referer: http://carsonsmith.cs-401.hehm.net/index.php
[Mon Dec 09 20:38:32.031568 2019] [php7:notice] [pid 10710] [client 132.178.207.16:58276] PHP Notice:  Undefined index: slug in /home/carsonsmith/public_html/category.php on line 5, referer: http://carsonsmith.cs-401.hehm.net/category.php?slug=community
[Mon Dec 09 20:38:32.032156 2019] [php7:notice] [pid 10710] [client 132.178.207.16:58276] PHP Notice:  Trying to get property 'id' of non-object in /home/carsonsmith/public_html/category.php on line 24, referer: http://carsonsmith.cs-401.hehm.net/category.php?slug=community
[Mon Dec 09 20:38:32.039622 2019] [php7:notice] [pid 10710] [client 132.178.207.16:58276] PHP Notice:  Trying to get property 'parent_category_id' of non-object in /home/carsonsmith/src/template.php on line 219, referer: http://carsonsmith.cs-401.hehm.net/category.php?slug=community
[Mon Dec 09 20:38:34.485143 2019] [php7:warn] [pid 10710] [client 132.178.207.16:58276] PHP Warning:  Use of undefined constant email - assumed 'email' (this will throw an Error in a future version of PHP) in /home/carsonsmith/public_html/index.php on line 14, referer: http://carsonsmith.cs-401.hehm.net/category.php
[Mon Dec 09 20:38:34.485370 2019] [php7:notice] [pid 10710] [client 132.178.207.16:58276] PHP Notice:  Object of class objects\\User could not be converted to int in /home/carsonsmith/public_html/index.php on line 14, referer: http://carsonsmith.cs-401.hehm.net/category.php
[Mon Dec 09 20:38:34.485450 2019] [php7:warn] [pid 10710] [client 132.178.207.16:58276] PHP Warning:  A non-numeric value encountered in /home/carsonsmith/public_html/index.php on line 14, referer: http://carsonsmith.cs-401.hehm.net/category.php
[Mon Dec 09 20:39:00.883843 2019] [php7:warn] [pid 10722] [client 132.178.207.16:57448] PHP Warning:  Use of undefined constant email - assumed 'email' (this will throw an Error in a future version of PHP) in /home/carsonsmith/public_html/index.php on line 14, referer: http://carsonsmith.cs-401.hehm.net/show-post.php?id=48
[Mon Dec 09 20:39:00.884031 2019] [php7:notice] [pid 10722] [client 132.178.207.16:57448] PHP Notice:  Object of class objects\\User could not be converted to int in /home/carsonsmith/public_html/index.php on line 14, referer: http://carsonsmith.cs-401.hehm.net/show-post.php?id=48
[Mon Dec 09 20:39:00.884113 2019] [php7:warn] [pid 10722] [client 132.178.207.16:57448] PHP Warning:  A non-numeric value encountered in /home/carsonsmith/public_html/index.php on line 14, referer: http://carsonsmith.cs-401.hehm.net/show-post.php?id=48
[Mon Dec 09 20:39:53.697964 2019] [php7:warn] [pid 10835] [client 132.178.207.16:45799] PHP Warning:  PDOStatement::execute() expects parameter 1 to be array, string given in /home/carsonsmith/src/sql.php on line 337, referer: http://carsonsmith.cs-401.hehm.net/show-post.php?id=49
[Mon Dec 09 20:39:53.739037 2019] [php7:notice] [pid 10835] [client 132.178.207.16:45799] PHP Notice:  Trying to get property 'category_id' of non-object in /home/carsonsmith/public_html/show-post.php on line 8, referer: http://carsonsmith.cs-401.hehm.net/show-post.php?id=49
[Mon Dec 09 20:39:53.739454 2019] [php7:notice] [pid 10835] [client 132.178.207.16:45799] PHP Notice:  Trying to get property 'parent_category_id' of non-object in /home/carsonsmith/public_html/show-post.php on line 9, referer: http://carsonsmith.cs-401.hehm.net/show-post.php?id=49
[Mon Dec 09 20:39:53.740024 2019] [php7:notice] [pid 10835] [client 132.178.207.16:45799] PHP Notice:  Trying to get property 'image_url' of non-object in /home/carsonsmith/public_html/show-post.php on line 14, referer: http://carsonsmith.cs-401.hehm.net/show-post.php?id=49
[Mon Dec 09 20:39:53.740130 2019] [php7:notice] [pid 10835] [client 132.178.207.16:45799] PHP Notice:  Trying to get property 'account_id' of non-object in /home/carsonsmith/public_html/show-post.php on line 17, referer: http://carsonsmith.cs-401.hehm.net/show-post.php?id=49
[Mon Dec 09 20:39:53.740412 2019] [php7:notice] [pid 10835] [client 132.178.207.16:45799] PHP Notice:  Trying to get property 'title' of non-object in /home/carsonsmith/public_html/show-post.php on line 19, referer: http://carsonsmith.cs-401.hehm.net/show-post.php?id=49
[Mon Dec 09 20:39:53.740497 2019] [php7:notice] [pid 10835] [client 132.178.207.16:45799] PHP Notice:  Trying to get property 'title' of non-object in /home/carsonsmith/public_html/show-post.php on line 23, referer: http://carsonsmith.cs-401.hehm.net/show-post.php?id=49
[Mon Dec 09 20:39:53.740601 2019] [php7:notice] [pid 10835] [client 132.178.207.16:45799] PHP Notice:  Trying to get property 'slug' of non-object in /home/carsonsmith/public_html/show-post.php on line 37, referer: http://carsonsmith.cs-401.hehm.net/show-post.php?id=49
[Mon Dec 09 20:39:53.740666 2019] [php7:notice] [pid 10835] [client 132.178.207.16:45799] PHP Notice:  Trying to get property 'name' of non-object in /home/carsonsmith/public_html/show-post.php on line 37, referer: http://carsonsmith.cs-401.hehm.net/show-post.php?id=49
[Mon Dec 09 20:39:53.740737 2019] [php7:notice] [pid 10835] [client 132.178.207.16:45799] PHP Notice:  Trying to get property 'slug' of non-object in /home/carsonsmith/public_html/show-post.php on line 37, referer: http://carsonsmith.cs-401.hehm.net/show-post.php?id=49
[Mon Dec 09 20:39:53.740805 2019] [php7:notice] [pid 10835] [client 132.178.207.16:45799] PHP Notice:  Trying to get property 'name' of non-object in /home/carsonsmith/public_html/show-post.php on line 37, referer: http://carsonsmith.cs-401.hehm.net/show-post.php?id=49
[Mon Dec 09 20:39:53.740890 2019] [php7:notice] [pid 10835] [client 132.178.207.16:45799] PHP Notice:  Trying to get property 'id' of non-object in /home/carsonsmith/public_html/show-post.php on line 37, referer: http://carsonsmith.cs-401.hehm.net/show-post.php?id=49
[Mon Dec 09 20:39:53.740955 2019] [php7:notice] [pid 10835] [client 132.178.207.16:45799] PHP Notice:  Trying to get property 'id' of non-object in /home/carsonsmith/public_html/show-post.php on line 41, referer: http://carsonsmith.cs-401.hehm.net/show-post.php?id=49
[Mon Dec 09 20:39:53.741013 2019] [php7:notice] [pid 10835] [client 132.178.207.16:45799] PHP Notice:  Trying to get property 'title' of non-object in /home/carsonsmith/public_html/show-post.php on line 43, referer: http://carsonsmith.cs-401.hehm.net/show-post.php?id=49
[Mon Dec 09 20:39:53.741067 2019] [php7:notice] [pid 10835] [client 132.178.207.16:45799] PHP Notice:  Trying to get property 'image_url' of non-object in /home/carsonsmith/public_html/show-post.php on line 56, referer: http://carsonsmith.cs-401.hehm.net/show-post.php?id=49
[Mon Dec 09 20:39:53.741126 2019] [php7:notice] [pid 10835] [client 132.178.207.16:45799] PHP Notice:  Trying to get property 'description' of non-object in /home/carsonsmith/public_html/show-post.php on line 65, referer: http://carsonsmith.cs-401.hehm.net/show-post.php?id=49
[Mon Dec 09 20:39:53.741189 2019] [php7:notice] [pid 10835] [client 132.178.207.16:45799] PHP Notice:  Trying to get property 'name' of non-object in /home/carsonsmith/public_html/show-post.php on line 69, referer: http://carsonsmith.cs-401.hehm.net/show-post.php?id=49
[Mon Dec 09 20:39:53.741260 2019] [php7:notice] [pid 10835] [client 132.178.207.16:45799] PHP Notice:  Trying to get property 'created_at' of non-object in /home/carsonsmith/public_html/show-post.php on line 71, referer: http://carsonsmith.cs-401.hehm.net/show-post.php?id=49
[Mon Dec 09 20:42:53.571530 2019] [php7:warn] [pid 11134] [client 132.178.207.16:58383] PHP Warning:  Use of undefined constant email - assumed 'email' (this will throw an Error in a future version of PHP) in /home/carsonsmith/public_html/index.php on line 14, referer: http://carsonsmith.cs-401.hehm.net/show-post.php?id=YES
[Mon Dec 09 20:42:53.571725 2019] [php7:notice] [pid 11134] [client 132.178.207.16:58383] PHP Notice:  Object of class objects\\User could not be converted to int in /home/carsonsmith/public_html/index.php on line 14, referer: http://carsonsmith.cs-401.hehm.net/show-post.php?id=YES
[Mon Dec 09 20:42:53.571783 2019] [php7:warn] [pid 11134] [client 132.178.207.16:58383] PHP Warning:  A non-numeric value encountered in /home/carsonsmith/public_html/index.php on line 14, referer: http://carsonsmith.cs-401.hehm.net/show-post.php?id=YES
[Mon Dec 09 20:49:41.428603 2019] [php7:emerg] [pid 11735] [client 132.178.207.16:11604] PHP Parse error:  syntax error, unexpected 'endif' (T_ENDIF) in /home/carsonsmith/public_html/show-post.php on line 78, referer: http://carsonsmith.cs-401.hehm.net/show-post.php?id=49
[Mon Dec 09 20:49:43.039756 2019] [php7:emerg] [pid 11736] [client 132.178.207.16:13146] PHP Parse error:  syntax error, unexpected 'endif' (T_ENDIF) in /home/carsonsmith/public_html/show-post.php on line 78
[Mon Dec 09 20:49:43.391023 2019] [php7:emerg] [pid 11737] [client 132.178.207.16:20380] PHP Parse error:  syntax error, unexpected 'endif' (T_ENDIF) in /home/carsonsmith/public_html/show-post.php on line 78
[Mon Dec 09 20:50:13.399829 2019] [php7:emerg] [pid 11836] [client 132.178.207.16:28692] PHP Parse error:  syntax error, unexpected 'endif' (T_ENDIF) in /home/carsonsmith/public_html/show-post.php on line 78
[Mon Dec 09 20:50:14.123601 2019] [php7:emerg] [pid 11856] [client 132.178.207.16:25105] PHP Parse error:  syntax error, unexpected 'endif' (T_ENDIF) in /home/carsonsmith/public_html/show-post.php on line 78
[Mon Dec 09 20:50:14.510256 2019] [php7:emerg] [pid 11889] [client 132.178.207.16:55624] PHP Parse error:  syntax error, unexpected 'endif' (T_ENDIF) in /home/carsonsmith/public_html/show-post.php on line 78
